Date,BE,TWLO,ZM,SLP,DKNG,SPY,weekday,BE_Weight,TWLO_Weight,ZM_Weight,SLP_Weight,DKNG_Weight,BE_Holding,TWLO_Holding,ZM_Holding,SLP_Holding,DKNG_Holding,Portfolio,SPY_Bench
2020-04-21,6.769999980926514,105.0,143.27000427246094,39.88279342651367,17.200000762939453,270.7598876953125,1,0.0,0.0,0.06,0.46,0.48,0.0,0.0,6.0,163.0,395.0,14130.761245727539,9205.836181640625
2020-04-22,7.949999809265137,107.88999938964844,150.25,42.00602340698242,17.149999618530273,276.769287109375,2,0.0,0.0,0.06,0.46,0.48,0.0,0.0,6.0,163.0,395.0,14522.731664657593,9410.15576171875
2020-04-23,7.920000076293945,107.51000213623047,169.08999633789062,42.36539077758789,17.530000686645508,276.7494201660156,3,0.0,0.0,0.06,0.46,0.48,0.0,0.0,6.0,163.0,395.0,14844.448945999146,9409.480285644531
2020-04-24,8.279999732971191,109.94999694824219,158.8000030517578,41.856292724609375,19.350000381469727,280.6069641113281,4,0.0,0.0,0.06,0.46,0.48,0.0,0.0,6.0,163.0,395.0,15418.625883102417,9540.636779785156
2020-04-27,8.470000267028809,109.41999816894531,164.60000610351562,40.937904357910156,19.520000457763672,284.65289306640625,0,0.0,0.0,0.06,0.46,0.48,0.0,0.0,6.0,163.0,395.0,15370.8786277771,9678.198364257812
2020-04-28,7.71999979019165,104.58999633789062,156.72000122070312,40.55857467651367,18.239999771118164,283.3439025878906,1,0.0,0.0,0.07,0.28,0.65,0.0,0.0,7.0,102.0,523.0,14756.167589187622,9633.692687988281
2020-04-29,7.980000019073486,111.30000305175781,146.47999572753906,41.73650360107422,19.399999618530273,290.7614440917969,2,0.0,0.0,0.07,0.28,0.65,0.0,0.0,7.0,102.0,523.0,15428.683137893677,9885.889099121094
2020-04-30,7.670000076293945,112.30000305175781,135.1699981689453,37.98311233520508,19.459999084472656,288.05426025390625,3,0.0,0.0,0.07,0.28,0.65,0.0,0.0,7.0,102.0,523.0,14998.046966552734,9793.844848632812
2020-05-01,7.349999904632568,107.9800033569336,138.55999755859375,38.981353759765625,20.1200008392334,280.428466796875,4,0.0,0.0,0.07,0.28,0.65,0.0,0.0,7.0,102.0,523.0,15468.778505325317,9534.56787109375
2020-05-04,7.210000038146973,113.25,143.44000244140625,37.57383346557617,20.989999771118164,281.20196533203125,0,0.0,0.0,0.07,0.28,0.65,0.0,0.0,7.0,102.0,523.0,15814.380910873413,9560.866821289062
