Date,High,Low,Open,Close,Volume,Adj Close
2015-03-12,206.94983393351237,204.68483327229816,205.83533350626627,205.8566670735677,132899541.66666667,183.84087931315105
2015-03-13,207.03983383178712,204.78149998982747,205.91516698201497,205.96200052897134,132440293.33333333,183.95128682454427
2015-03-16,207.1446673075358,204.91483332316082,206.0506670633952,206.13983383178712,130382883.33333333,184.1263328552246
2015-03-17,207.24600067138672,205.05966669718424,206.20483373006184,206.242667388916,127726221.66666667,184.23469263712565
2015-03-18,207.21766738891603,205.10466664632162,206.24900029500324,206.3040008544922,127245798.33333333,184.3063850402832
2015-03-19,207.27000071207684,205.16166661580402,206.30783386230468,206.35366744995116,125126343.33333333,184.35075556437175
2015-03-20,207.32916742960612,205.212166595459,206.3571673075358,206.40266749064128,125616280.0,184.40851618448895
2015-03-23,207.37716751098634,205.25550003051757,206.3946673075358,206.44016749064127,124776556.66666667,184.45597508748372
2015-03-24,207.41150080362956,205.27250010172526,206.4251673380534,206.4576675415039,125357255.0,184.48548889160156
2015-03-25,207.4198341369629,205.23016688028972,206.43783416748047,206.4130007425944,127060505.0,184.45926106770833
2015-03-26,207.3765007019043,205.16316680908204,206.38350092569988,206.35550079345703,128284226.66666667,184.4215352376302
2015-03-27,207.33616739908854,205.1196667989095,206.33216756184896,206.3245007832845,129040863.33333333,184.407514444987
2015-03-30,207.34316736857096,205.14583358764648,206.3153340657552,206.36966756184896,128471640.0,184.461705271403
2015-03-31,207.36350072224934,205.18216705322266,206.33000055948892,206.38633422851564,128560020.0,184.49031473795574
2015-04-01,207.39766743977864,205.23483352661134,206.36700057983398,206.4526674906413,128021203.33333333,184.56324666341146
2015-04-02,207.46866734822592,205.34383341471354,206.42583389282225,206.5630007425944,125983695.0,184.6755360921224
2015-04-06,207.56416727701824,205.41600011189777,206.49166717529297,206.65500081380208,125800720.0,184.77153905232748
2015-04-07,207.60750045776368,205.47016677856445,206.5558339436849,206.6780008951823,124701028.33333333,184.8058634440104
2015-04-08,207.64233373006184,205.52966690063477,206.57500076293945,206.74016749064128,123547438.33333333,184.8752243041992
2015-04-09,207.71866683959962,205.61750030517578,206.63116734822592,206.84433415730794,122566651.66666667,184.98216857910157
2015-04-10,207.79550018310547,205.75833384195963,206.71583404541016,206.97700068155925,120202811.66666667,185.11464920043946
2015-04-13,207.95433349609374,205.93266703287762,206.88616739908855,207.11416727701823,118226903.33333333,185.25108693440754
2015-04-14,208.0826670328776,206.08633371988932,207.00650075276693,207.28866729736328,116535003.33333333,185.42090301513673
2015-04-15,208.23633346557617,206.27633361816407,207.1945007324219,207.43533376057943,114662498.33333333,185.5659164428711
2015-04-16,208.3740000406901,206.4366668701172,207.32166748046876,207.57383371988934,113628228.33333333,185.70362955729166
2015-04-17,208.4668332417806,206.537833404541,207.44566752115887,207.65500030517578,114764403.33333333,185.78996251424152
2015-04-20,208.53333333333333,206.64833348592123,207.53016738891603,207.71750030517578,113394961.66666667,185.85974553426107
2015-04-21,208.61266657511393,206.7221669514974,207.61150080362955,207.79466705322267,112645678.33333333,185.9426150004069
2015-04-22,208.70083338419596,206.80633341471355,207.69983393351237,207.88100051879883,112416593.33333333,186.03374226888022
2015-04-23,208.8311668395996,206.9441665649414,207.81950047810872,208.02133382161458,111892281.66666667,186.17314707438152
2015-04-24,208.95916697184245,207.13083318074544,207.9443339029948,208.2131670633952,110105833.33333333,186.35859400431315
2015-04-27,209.1288335164388,207.32849985758463,208.14350051879882,208.35950037638347,108535378.33333333,186.50333302815756
2015-04-28,209.2843335469564,207.498499806722,208.31300048828126,208.55933380126953,106687608.33333333,186.695911916097
2015-04-29,209.43866678873698,207.6941665649414,208.4850003560384,208.7035006205241,106063906.66666667,186.83870213826498
2015-04-30,209.53033345540365,207.77866643269857,208.59966710408528,208.76383412679036,106682106.66666667,186.90645751953124
2015-05-01,209.62016677856445,207.8748331705729,208.69100036621094,208.8748341878255,106166990.0,187.01962763468424
2015-05-04,209.71550013224285,207.9803332010905,208.7971669514974,208.9615010579427,105716556.66666667,187.11109873453776
2015-05-05,209.78583348592122,208.0438331604004,208.87166697184244,209.01733423868816,105510793.33333333,187.17486292521158
2015-05-06,209.85733337402343,208.08749974568684,208.951500193278,209.07416737874348,106308146.66666667,187.23946355183918
2015-05-07,209.8950002034505,208.13483327229818,208.9855000813802,209.1085006713867,106176158.33333333,187.28401896158854
2015-05-08,209.96850026448567,208.21733322143555,209.05666681925456,209.1866673787435,107255983.33333333,187.36791585286457
2015-05-11,210.01683349609374,208.27649993896483,209.11800028483074,209.21483408610027,106892020.0,187.40707728068034
2015-05-12,210.03000030517578,208.27416661580403,209.12700017293295,209.21816736857096,107326306.66666667,187.42401123046875
2015-05-13,210.0450002034505,208.2848332722982,209.14483362833658,209.21666742960613,107621301.66666667,187.43662974039714
2015-05-14,210.0800003051758,208.31100006103514,209.1711669921875,209.25133412679037,107875986.66666667,187.48170522054036
2015-05-15,210.1165003458659,208.35466664632162,209.22166697184244,209.29233423868814,107626780.0,187.53245264689127
2015-05-18,210.15100021362304,208.4118334452311,209.26766713460287,209.32333424886068,106521001.66666667,187.57431106567384
2015-05-19,210.1903335571289,208.44866689046225,209.30600051879884,209.35366744995116,106482726.66666667,187.61556905110677
2015-05-20,210.21916681925455,208.47766698201497,209.3398338317871,209.37150090535482,106555813.33333333,187.64564895629883
2015-05-21,210.24433339436848,208.4991668701172,209.35733388264973,209.40266749064128,106417528.33333333,187.68768157958985
2015-05-22,210.27483317057292,208.53683369954427,209.3826670328776,209.42950083414715,106163121.66666667,187.7258097330729
2015-05-26,210.29699986775717,208.53016688028973,209.40166702270508,209.430167388916,106433665.0,187.74040883382162
2015-05-27,210.3123331705729,208.53083343505858,209.40950037638348,209.44200057983397,106529041.66666667,187.76511662801107
2015-05-28,210.32133305867512,208.55666681925456,209.42383371988933,209.4643341064453,105939855.0,187.79918950398763
2015-05-29,210.35366617838542,208.58600031534831,209.4568339029948,209.47950083414713,106113561.66666667,187.8267728169759
2015-06-01,210.37933273315429,208.59883346557618,209.4788340250651,209.49800084431965,106387991.66666667,187.85736236572265
2015-06-02,210.4168327331543,208.65166676839192,209.50550079345703,209.5623341878255,104778041.66666667,187.92888361612955
2015-06-03,210.48149948120118,208.71466674804688,209.5765007019043,209.62166748046874,104744741.66666667,187.99597549438477
2015-06-04,210.56566619873047,208.7950002034505,209.6491673787435,209.70750096638997,104657433.33333333,188.0866226196289
2015-06-05,210.65033289591472,208.87133356730143,209.72683410644532,209.795334370931,104850083.33333333,188.1790328979492
2015-06-08,210.69433314005533,208.92450027465821,209.79983418782552,209.81833419799804,104767913.33333333,188.21343739827475
2015-06-09,210.7138333638509,208.97633361816406,209.8278340657552,209.86200078328451,103811643.33333333,188.26630147298178
2015-06-10,210.7591667175293,209.0336669921875,209.87216720581054,209.9015007019043,103785845.0,188.31561024983725
2015-06-11,210.8203333536784,209.1040003458659,209.93533376057943,209.9626673380534,103441945.0,188.38432032267252
2015-06-12,210.823833211263,209.15500030517578,209.9895004272461,209.95516713460287,101884843.33333333,188.3915776570638
2015-06-15,210.80683314005535,209.13433354695638,209.96750030517578,209.94866714477538,101992625.0,188.3996691385905
2015-06-16,210.79566650390626,209.12150014241536,209.9545000712077,209.94600041707358,100452510.0,188.39727554321288
2015-06-17,210.79916661580404,209.11083348592123,209.95733337402345,209.95583368937176,101367911.66666667,188.40609893798828
2015-06-18,210.84816665649413,209.1423334757487,209.9816665649414,210.02183354695637,102835621.66666667,188.46532440185547
2015-06-19,210.88483327229818,209.21983337402344,210.02149988810223,210.1060002644857,102351571.66666667,188.5561887105306
2015-06-22,210.9884999593099,209.34516677856445,210.13733317057293,210.2163335164388,100978718.33333333,188.67061258951824
2015-06-23,211.0966667175293,209.4563336690267,210.25416641235353,210.3213333129883,100137681.66666667,188.7802614847819
2015-06-24,211.15600001017253,209.51483357747395,210.33316650390626,210.35883331298828,100073130.0,188.82922643025717
2015-06-25,211.20849990844727,209.57166697184246,210.39716669718425,210.41600011189777,99578775.0,188.89579213460286
2015-06-26,211.27783330281576,209.64916712443033,210.462166595459,210.4846669514974,99026628.33333333,188.97267481486003
