calendardate,ticker,eps,netinc,opinc,ncfo,cashnequsd,de,ebitda,fcf,marketcap,netmargin,pb,pe,ps,workingcapital,ev,divyield,fcfps,revenue,invcap,ebit,equityusd,assets,roe,roa,roic,stock_price,sp500_price,stock_p_change,sp500_p_change
9/30/2020,FDP,0.37,17400000.0,26600000.0,63400000.0,14000000.0,0.867,51100000.0,14000000.0,1051071001.0,0.018000000000000002,0.612,46.714,0.249,440800000.0,1685871001.0,0.013000000000000001,0.29600000000000004,989700000.0,2791100000.0,27400000.0,1718100000.0,3281400000.0,0.010127466387288283,0.005302614737611995,0.006234101250403067,23.340334987640386,331.48317769368487,0.84,2.14
9/30/2020,FDS,2.34,89079000.0,97970000.0,159427000.0,585605000.0,1.324,157436000.0,144694000.0,11786984493.0,0.23199999999999998,13.15,31.605999999999998,7.888999999999999,565637000.0,12077058493.0,0.01,3.807,383590000.0,1266371000.0,97970000.0,896375000.0,2083388000.0,0.09937693487658625,0.04275679806161886,0.07034194560677716,345.72850799560547,331.48317769368487,-1.95,2.14
9/30/2020,FDX,4.75,1245000000.0,1590000000.0,2651000000.0,6954000000.0,2.99,2716000000.0,1227000000.0,62147648167.0,0.064,3.193,34.797,0.8690000000000001,7708000000.0,93222648167.0,0.011000000000000001,4.673,19321000000.0,90895000000.0,1790000000.0,19462000000.0,77648000000.0,0.06397081492138526,0.01603389655882959,0.013697123054073381,202.5287579854329,331.48317769368487,17.81,2.14
6/30/2020,FE,0.57,309000000.0,768000000.0,710000000.0,165000000.0,4.936,1198000000.0,34000000.0,15688674571.0,0.12300000000000001,2.1959999999999997,23.557,1.444,-558000000.0,37699674571.0,0.054000000000000006,0.063,2522000000.0,56252000000.0,891000000.0,7143000000.0,42403000000.0,0.04325913481730365,0.007287220243850671,0.005493138021759226,40.20640614827474,292.61378580729166,-4.36,4.35
9/30/2020,FELE,0.82,38372000.0,48384000.0,86707000.0,114480000.0,0.48,59700000.0,80916000.0,2759662483.0,0.109,3.405,29.534000000000002,2.214,414673000.0,2764226483.0,0.008,1.751,351190000.0,641992000.0,47578000.0,810569000.0,1201442000.0,0.047339584908872655,0.03193828749119808,0.05977021520517389,56.996418380737296,331.48317769368487,5.38,2.14
6/30/2018,FET,-0.14,-15349000.0,-12052000.0,-6415000.0,39105000.0,0.521,12790000.0,-15475000.0,1345606242.0,-0.055999999999999994,0.9490000000000001,28.656,1.386,536065000.0,1773433242.0,0.0,-0.142,274003000.0,1205148000.0,-5842000.0,1417975000.0,2157330000.0,-0.01082459140675964,-0.0071148132181910045,-0.012736195056540773,262.53333333333336,258.16588694254557,-0.04,1.7
9/30/2020,FEYE,-0.17,-39118000.0,-26153000.0,33267000.0,314250000.0,3.0780000000000003,-332000.0,28625000.0,3151941972.0,-0.16399999999999998,4.753,-14.464,3.3960000000000004,479603000.0,3867330972.0,0.0,0.127,238460000.0,1401587000.0,-23832000.0,663160000.0,2704522000.0,-0.05898727305627601,-0.014463923754363988,-0.027909790829966318,13.786416737238564,331.48317769368487,0.53,2.14
6/30/2020,FFIV,1.15,69872000.0,87621000.0,159174000.0,714268000.0,1.123,124748000.0,146780000.0,8612562016.0,0.12,3.9989999999999997,26.531999999999996,3.702,402118000.0,8637012016.0,0.0,2.407,583252000.0,1475525000.0,87762000.0,2153899000.0,4573357000.0,0.03243977549550838,0.01527805504796586,0.04735399264668508,136.0651663462321,292.61378580729166,4.47,4.35
6/30/2020,FGEN,-0.95,-85313000.0,-85137000.0,149665000.0,429269000.0,0.992,-78971000.0,148939000.0,3745218729.0,-1.989,9.461,-12.034,34.538000000000004,649597000.0,3360754729.0,0.0,1.665,42888000.0,345648000.0,-84493000.0,395872000.0,807683000.0,-0.21550652736237977,-0.10562683627116085,-0.24682046475026617,37.34116668701172,292.61378580729166,4.8,4.35
9/30/2019,FI,-0.11,-23789000.0,-14803000.0,25874000.0,191774000.0,0.18600000000000003,4427000.0,16228000.0,1204187878.0,-0.16899999999999998,1.234,-14.485,2.0540000000000003,354980000.0,1045354878.0,0.0,0.07200000000000001,140417000.0,640120000.0,-17055000.0,976034000.0,1157566000.0,-0.02437312634600844,-0.020550880036213918,-0.03716334437293008,5.043666656812032,288.57187805175784,-5.96,-0.14
6/30/2020,FICO,2.21,64076000.0,82871000.0,106871000.0,125673000.0,5.325,100407000.0,98964000.0,12713044336.0,0.204,51.41,54.82899999999999,10.373,22824000.0,13588410336.0,0.0,3.412,313731000.0,1164652000.0,87431000.0,247286000.0,1564120000.0,0.25911697386831445,0.04096616627880214,0.05501729271919852,369.28716481526686,292.61378580729166,8.82,4.35
6/30/2015,FINL,0.3,13789000.0,22351000.0,-4695000.0,82193000.0,0.349,32501000.0,-23558000.0,1267624141.0,0.031,2.2230000000000003,15.209000000000001,0.682,304374000.0,1185431141.0,0.012,-0.518,443394000.0,507384000.0,22406000.0,570227000.0,769330000.0,0.02418159785488937,0.017923387882963097,0.02717665515664664,23.542926947275802,188.95772654215492,3.35,0.04
